,Unnamed: 0,date,title,category,body,source
0,0,2020-03-19,Nets' Access to COVID-19 Tests Questioned,Pro Basketball,New York Mayor Bill de Blasio is among those questioning how the Brooklyn Nets were able to test the team for coronavirus when others in his hard-hit city haven't had access to tests.,By Reuters
1,1,March 14,Ireland Announces Second Death From COVID-19,Europe,"A second patient has died of the COVID-19 virus in Ireland and the total number of confirmed cases in the country has increased to 129 from 90, the country's Chief Medical Officer Tony Holohan told journalists on Saturday. ",By Reuters
2,2,March 6,England to Register COVID-19 as 'Notifiable Disease': BBC,Europe,"England will formally register COVID-19, a disease caused by the new coronavirus, as ""notifiable"", BBC reported on Wednesday.",By Reuters
3,3,March 18,"Lakers Reportedly Under Quarantine, Will Test for COVID-19",Pro Basketball,"Members of the Los Angeles Lakers are under quarantine for 14 days and will be tested for COVID-19, multiple media outlets reported Tuesday.",By Reuters
4,4,March 17,Factbox: COVID-19 and the New Coronavirus-Fact Versus Fiction,Europe,"Social media is awash with myths about how people might stop the new coronavirus or treat infection with COVID-19, the disease it causes.",By Reuters
5,5,Feb. 11,"The Illness Now Has a Name, COVID-19",Asia Pacific,"The World Health Organization said it had chosen a name for the disease that makes no reference to places, animals or people to avoid stigma.",By Reuters
6,6,March 12,Why COVID-19 'Death Rates' Are Not What They Seem,U.S.,"Italy and South Korea, two countries outside China that have been hard hit by the new coronavirus, have reported dramatically different numbers of deaths as a proportion of cases. Why are these not comparable?",By Reuters
7,7,March 16,Indonesia Not Considering Lockdown as Ministers Tested for COVID-19,Asia Pacific,"Indonesian President Joko Widodo said on Monday the authorities were not now considering imposing a lockdown to tackle the coronavirus outbreak, as the leader, his wife and a number of ministers awaited the results of tests for the virus.",By Reuters
8,8,March 14,Trump Says He's Attending Meetings on COVID-19 at White House,Business,"U.S. President Donald Trump said that he is attending White House meetings on Saturday on the COVID-19 outbreak caused by the coronavirus and would issue a ""full report later.""",By The Associated Press
9,9,March 13,Global Fund Launched to Raise Funds for COVID-19 Pandemic,World,"The World Health Organization’s chief launched a global fund on Friday to raise money to help the world’s nations respond to the COVID-19 pandemic, saying “every dollar donated is a dollar towards saving lives.”",By The Associated Press
10,10,March 13,Global Fund Launched to Raise Funds for COVID-19 Pandemic,World,"The World Health Organization’s chief launched a global fund on Friday to raise money to help the world’s nations respond to the COVID-19 pandemic, saying “every dollar donated is a dollar towards saving lives.”",By Reuters
11,11,March 12,American Airlines Says Pilot Tests Positive for Covid-19,Asia Pacific,American Airlines Group Inc said on Thursday a pilot based out of Dallas-Fort Worth tested positive for Covid-19.,By Reuters
12,12,March 18,"Patients With Breathing, Lung Problems at Highest Risk With COVID-19-Study",Europe,"Patients with existing illnesses that cause breathlessness, wheezing or lung problems run a higher risk of developing severe cases of COVID-19 infection due to the new coronavirus, according to a pooled analysis study published on Wednesday. ",By The Associated Press
13,13,March 18,Cruise Ship With COVID-19 Patients Docks in Cuba,Americas,"A British cruise ship rejected by Caribbean port officials for weeks docked in Cuba on Wednesday to unload more than 1,000 people on board, including five with confirmed cases of the novel coronavirus. ",By The Associated Press
14,14,March 18,Ottawa Player Is 1st in NHL to Test Positive for COVID-19,Hockey,The NHL has its first known case of the new coronavirus after an Ottawa Senators player tested positive.,By Reuters
15,15,March 18,"WHO Says Testing, Tracing Must Be 'Backbone' of COVID-19 Response",Europe,"Countries across the world must take a comprehensive approach to fighting the pandemic of COVID-19 disease caused by the new coronavirus and isolate, test and trace as many cases as possible, the World Health Organization said on Wednesday.",By The Associated Press
16,16,March 16,Google Sibling Verily Launches COVID-19 Screening Website,Business,Google sister company Verily has launched a website to screen people  who think they might have COVID-19 and point them to testing sites. But you probably can't use it to get tested quite yet.,By Reuters
17,17,March 15,South Africa's Ramaphosa Declares State of Disaster Over COVID-19,World,South African president Cyril Ramaphosa declared a national state of disaster on Sunday as he announced a range of measures to contain a COVID-19 outbreak that has so far infected 61 and showed the first signs of internal transmission.,By Reuters
18,18,March 18,U.S. Mobility Startups Feel the Chill From the COVID-19 Crisis,Business,"U.S. startup companies focused on transportation technology could be among the casualties of COVID-19, according to venture investors who say new funding and investment exits are drying up as the economic outlook darkens.",By The Associated Press
19,19,March 12,"IndyCar, NASCAR Closed to Fans Amid COVID-19 Pandemic",Sports,"IndyCar and NASCAR will both race this weekend without spectators, the latest sports series affected by concerns over the COVID-19 pandemic. ",By The Associated Press
20,20,March 12,"IndyCar, NASCAR Closed to Fans Amid COVID-19 Pandemic",Sports,"IndyCar and NASCAR will both race this weekend without spectators, the latest sports series affected by concerns over the COVID-19 pandemic. ",By Reuters
21,21,March 10,"Gates, Other Charities Pledge $125 Million Towards COVID-19 Treatments",U.S.,"The Bill & Melinda Gates Foundation and two other large charities on Tuesday pledged up to $125 million to help speed the development of treatments for the fast-spreading coronavirus, which the World Health Organization said on Monday was nearing pandemic proportions.",By The Associated Press
22,22,March 8,"Behind the Scenes, Scientists Prep for COVID-19 Vaccine Test",Health,"A team of scientists jostled for a view of the lab dish, staring impatiently for the first clue that an experimental vaccine against the new coronavirus just might work. ",By The Associated Press
23,23,March 9,"Seeking Trial Delay, Sheriff Makes False COVID-19 Claim",U.S.,Lawyers for a longtime Alabama sheriff seeking a delay in his Monday theft trial wrongly claimed the officer was being tested for the illness caused by a new coronavirus.,By The Associated Press
24,24,March 13,"COVID-19 and Beyond: World 'Nowhere Near' Ready, Expert Says",Europe,"A leading epidemiologist who heads a U.N.-backed alliance that helps get vaccines to developing countries said Friday the world is “nowhere near” proper readiness for outbreaks like the new coronavirus, insisting work is needed now to prepare for the next one.",By Anemona Hartocollis
25,25,March 17,The Class of COVID-19,U.S.,"For seniors set to graduate college this spring, one loss hurts above all others: Graduation, and the traditions that came with it. At Wellesley, students decided to make their own.",By Reuters
26,26,March 13,Coronavirus Study Finds Children With COVID-19 Show Milder Symptom Pattern,Asia Pacific,"A study looking at 10 Chinese children who were infected with the novel coronavirus has uncovered evidence that COVID-19, the respiratory disease it causes, can appear as a less-serious infection, illustrating how difficult the infection can be to detect based only on symptoms.",By Reuters
27,27,March 18,EU Drugs Watchdog Says Currently No Evidence Ibuprofen Worsens COVID-19,U.S.,"The European Union's healthcare regulator said on Wednesday there currently is no evidence which links anti-inflammatory medicines such as ibuprofen with the worsening of COVID-19, the disease caused by the novel coronavirus.",By The Associated Press
28,28,March 16,COVID-19 Stay: Execution Halted for Man Who Killed Family,U.S.,The outbreak of the novel coronavirus prompted the top Texas criminal appeals court on Monday to stay for 60 days the scheduled execution of a man condemned for killing his family.,By The Associated Press
29,29,March 17,US Life With COVID-19: A State-By-State Patchwork of Rules,U.S.,"As the nation struggles to reconcile itself to a new and spreading peril, it also struggles with a patchwork of rules that vary dizzyingly from place to place: For now, your life and lockdown in the shadow of COVID-19 depends on where you live.",By Reuters
30,30,March 13,Walgreens to Provide Spaces for COVID-19 Testing Outside Its Stores,U.S.,Drugstore chain operator Walgreens Boots Alliance Inc  said on Friday it would dedicate temporary spaces in some locations such as parking lots outside its stores to test for the coronavirus. ,By Reuters
31,31,March 17,WHO Urges Europe to Take 'Boldest' Actions Against COVID-19 Epidemic,Europe,"Every country in Europe should be taking the ""boldest"" actions possible to try to halt or slow the epidemic of COVID-19 disease caused by the new coronavirus, the World Health Organization's European director said on Tuesday.",By The Associated Press
32,32,March 13,US General: 'Fairly Certain' North Korea Has COVID-19 Cases,Politics,"The top American general in South Korea said Friday he is fairly certain North Korea has not been spared by the COVID-19 outbreak that began in neighboring China, although the North has not publicly confirmed a single case.",By The Associated Press
